ေအးခ်မ္း (ကစားစရာဆိုင္မ်ား),အမွတ္ ၅၄၇၊ အေဝရာလမ္း၊ ရန္မိ်ဳးေအာင္ရပ္၊ ေအာင္ခ်မ္းသာရပ္ကြက္၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,09-444418861, 09-43009208
ေအးျမနႏၵာ (ကစားစရာဆိုင္မ်ား),အမွတ္ ၂၇၀၊ ျပည္ေတာ္သာလမ္း၊ ၁၈လမ္း ေထာင့္၊ ႐ြာသစ္ရပ္၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,09-5340210, 09-5341059, 09-789000111
ေအးျမသူ (ကစားစရာဆိုင္မ်ား),နတ္ေမာက္လမ္း၊ ပြဲႀကိဳရပ္၊ ႐ြာသစ္ပြဲႀကိဳရပ္ကြက္၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,09-799555519, 09-43026575, 09-425007755
ေအးျမသူ (ကစားစရာဆိုင္မ်ား),အမွတ္ ၆,၇၊ လမ္းမေတာ္လမ္း၊ ဆြမ္းေလာင္း႐ံုတိုက္တန္း၊ ႐ြာသစ္ပြဲႀကိဳရပ္ကြက္၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,09-43026575, 09-425007755
ေကာင္းမိုက္ေက်ာ္ (ကစားစရာဆိုင္မ်ား),ျမသလြန္ဘုရားေစာင္းတန္း၊ နံကပ္ကၽြန္း႐ြာ၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,09-401562118
ေကာင္းျမတ္ (ကစားစရာဆိုင္မ်ား),အမွတ္ ၄၆၇၊ ျပည္ေတာ္သာလမ္း၊ ခြာညိဳလမ္း ေထာင့္၊ ရန္မိ်ဳးေအာင္ရပ္၊ ေအာင္ခ်မ္းသာရပ္ကြက္၊,မေကြး၊မေကြးတိုင္းေဒသႀကီး,063-2027467, 09-43009340
